Country,GDP/Capita,Population,Daily tests,Cases,Deaths,Percent Cases,Percent Deaths
Libya,7685.9,6374616,590269.0,14544121.0,220601.0,228.16,3.46
Serbia,7411.8,7022268,2888343.0,39245041.0,440026.0,558.87,6.27
Peru,6977.7,32165485,2630719.0,211998467.0,8073150.0,659.09,25.1
Belarus,6663.3,9507875,474181.0,34859695.0,273249.0,366.64,2.87
Colombia,6428.7,49065615,10939036.0,275073370.0,7695136.0,560.62,15.68
Ecuador,6183.8,16624858,912262.0,42843518.0,2937940.0,257.71,17.67
Fiji,6175.9,905502,23998.0,10886.0,399.0,1.2,0.04
Bosnia and Herzegovina,6108.5,3507017,444682.0,15217043.0,525200.0,433.9,14.98
South Africa,6001.4,56717156,8870526.0,204748091.0,5441016.0,361.0,9.59
Iraq,5955.1,38274618,5111254.0,101678063.0,2393726.0,265.65,6.25
Jamaica,5582.3,2890299,130117.0,2130134.0,44318.0,73.7,1.53
Iran,5550.1,81162788,5098063.0,201640185.0,9632423.0,248.44,11.87
Paraguay,5414.8,6811297,740683.0,16012701.0,329837.0,235.09,4.84
Albania,5353.2,2873457,432998.0,8426482.0,171892.0,293.25,5.98
Namibia,4957.5,2533794,286580.0,3750338.0,37437.0,148.01,1.48
Armenia,4622.7,2930450,99658.0,24370297.0,428678.0,831.62,14.63
Guatemala,4620.0,16913503,870737.0,25790619.0,919247.0,152.49,5.43
Jordan,4405.5,9702353,2649644.0,33653341.0,425694.0,346.86,4.39
Mongolia,4339.8,3075647,1609563.0,206582.0,115.0,6.72,0.0
El Salvador,4187.3,6377853,496946.0,8580384.0,247813.0,134.53,3.89
Indonesia,4135.6,263991379,5688602.0,122650013.0,3881232.0,46.46,1.47
Algeria,3974.0,41318142,3100.0,16892357.0,547843.0,40.88,1.33
Sri Lanka,3853.1,21444000,2079872.0,5877733.0,28446.0,27.41,0.13
Ukraine,3659.0,44831159,4756558.0,140631503.0,2630449.0,313.69,5.87
Cape Verde,3603.8,546388,98345.0,2033114.0,20055.0,372.1,3.67
Bolivia,3552.1,11051600,682841.0,35010589.0,1846929.0,316.79,16.71
Philippines,3485.1,104918090,8162079.0,84405264.0,1678408.0,80.45,1.6
Tunisia,3317.5,11532127,191695.0,19340599.0,611149.0,167.71,5.3
